# Agility obstacle definitions copied/adapted from RuneLite's BSD-2-Clause agility plugin data.
# Source files:
# - runelite-client/src/main/java/net/runelite/client/plugins/agility/Obstacles.java
# - runelite-client/src/main/java/net/runelite/client/game/AgilityShortcut.java
#
# Copyright notices from the source data:
# Copyright (c) 2018, SomeoneWithAnInternetConnection
# Copyright (c) 2019, MrGroggle
# All rights reserved. Redistribution is permitted under the BSD 2-Clause license.
#
# objectId	category	level	label	worldX	worldY	plane	source
51	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
154	SHORTCUT	70	Rocks	2887	9631	0	TAVERLEY_DUNGEON_ROCKS_SOUTH
154	SHORTCUT	70	Rocks	2887	9823	0	TAVERLEY_DUNGEON_ROCKS_NORTH
544	SHORTCUT	57	Fence	2688	3697	0	RELEKKA_EAST_FENCE
993	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
1747	COURSE		Course obstacle				OBSTACLE_IDS
1948	COURSE		Course obstacle				OBSTACLE_IDS
2149	SHORTCUT	35	Trellis	3227	3471	0	VARROCK_CASTLE_GARDEN_TRELLIS
2186	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
2231	SHORTCUT	32	Rocks				CAIRN_ISLE_ROCKS
2236	SHORTCUT	1	Rocks				CAIRN_ISLE_CLIMBING_ROCKS
2618	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
2830	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
2831	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
2926	SHORTCUT	50	Jagged wall				SHAMAN_CAVES_JAGGED_WALL
2959	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
2960	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
2961	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
2962	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
2963	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
2964	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
3522	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
3550	TRAP		Trap				TRAP_OBSTACLE_IDS
3551	COURSE		Course obstacle				OBSTACLE_IDS
3553	COURSE		Course obstacle				OBSTACLE_IDS
3557	COURSE		Course obstacle				OBSTACLE_IDS
3559	COURSE		Course obstacle				OBSTACLE_IDS
3561	COURSE		Course obstacle				OBSTACLE_IDS
3564	COURSE		Course obstacle				OBSTACLE_IDS
3565	COURSE		Course obstacle				OBSTACLE_IDS
3566	COURSE		Course obstacle				OBSTACLE_IDS
3570	COURSE		Course obstacle				OBSTACLE_IDS
3571	COURSE		Course obstacle				OBSTACLE_IDS
3572	COURSE		Course obstacle				OBSTACLE_IDS
3578	COURSE		Course obstacle				OBSTACLE_IDS
3583	COURSE		Course obstacle				OBSTACLE_IDS
3748	SHORTCUT	15	Rocks				TROLLHEIM_ROCKS
3790	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
3791	SHORTCUT	1	Shortcut				GENERIC_SHORTCUT
3803	SHORTCUT	15	Rocks	2886	3684	0	TROLLHEIM_CLIFF_SCRAMBLE_NORTHWEST_SOUTH
3804	SHORTCUT	15	Rocks	2886	3684	0	TROLLHEIM_CLIFF_SCRAMBLE_NORTHWEST_SOUTH
3920	SHORTCUT	56	Trap				ISAFDAR_FOREST_OBSTACLES
