# OS Map Viewer core map icon labels.
# Generated from RuneLite SpriteID.Mapfunction aliases.
# Columns: spriteId	label
1448	General Store
1449	Sword Shop
1450	Magic Shop
1451	Axe Shop
1452	Helmet Shop
1453	Bank
1454	Quest Start
1455	Amulet Shop
1456	Mining Site
1457	Furnace
1458	Anvil
1459	Combat Training
1460	Dungeon
1461	Staff Shop
1462	Platebody Shop
1463	Platelegs Shop
1464	Scimitar Shop
1465	Archery Shop
1466	Shield Shop
1467	Altar
1468	Herbalist
1469	Jewellery Shop
1470	Gem Shop
1471	Crafting Shop
1472	Candle Shop
1473	Fishing Shop
1474	Fishing Spot
1475	Clothes Shop
1476	Apothecary
1477	Silk Trader
1478	Food Shop Kebab
1479	Pub
1480	Mace Shop
1481	Tannery
1482	Rare Trees
1483	Spinning Wheel
1484	Food Shop
1485	Food Shop Cutlery
1486	Minigame
1487	Water Source
1488	Cooking Range
1489	Plateskirt Shop
1490	Pottery Wheel
1491	Windmill
1492	Mining Shop
1493	Chainmail Shop
1494	Silver Shop
1495	Fur Trader
1496	Spice Shop
1497	Agility Training
1498	Food Shop Fruit
1499	Slayer Master
1500	Hairdresser
1501	Farming Patch
1502	Makeover Mage
1503	Guide
1504	Transportation
1505	House Portal
1506	Farming Shop
1507	Loom
1508	Brewery
1509	Dairy Churn
1510	Stagnant Water Source
1511	Hunter Training
1512	Poll Booth
1513	Hunter Shop
1514	Information
1515	Estate Agent
1516	Sawmill
1517	Stonemason
1518	Agility Shortcut
1519	Woodcutting Stump
1520	Holiday Event
1521	Sandpit
1522	Task Master
1523	Pet Shop
1524	Bounty Hunter Trader
1525	Iron Man Tutors
1526	Pricing Expert Weapons And Armour
1527	Pricing Expert Logs
1528	Pricing Expert Herbs
1529	Pricing Expert Runes
1530	Pricing Expert Ores And Bars
1531	Grand Exchange
1532	Kourend Task
1533	Raids Lobby
1534	Map Link Downstairs
1535	Map Link Upstairs
