# OS Map Viewer core map tooltip locations.
# Generated from RuneLite core worldmap plugin location enums; no RuneLite runtime dependency is required.
# Columns: source	tooltip	x	y	z
AgilityCourseLocation	Agility Pyramid	3347	2827	0
AgilityCourseLocation	Al Kharid Rooftop Course	3272	3195	0
AgilityCourseLocation	Ape Atoll Agility Course	2752	2742	0
AgilityCourseLocation	Ardougne Rooftop Course	2673	3298	0
AgilityCourseLocation	Barbarian Outpost Agility Course	2544	3569	0
AgilityCourseLocation	Brimhaven Agility Arena	2806	3193	0
AgilityCourseLocation	Canifis Rooftop Course	3506	3490	0
AgilityCourseLocation	Colossal Wyrm Course	1649	2930	0
AgilityCourseLocation	Draynor Village Rooftop Course	3103	3279	0
AgilityCourseLocation	Falador Rooftop Course	3035	3342	0
AgilityCourseLocation	Gnome Stronghold Agility Course	2474	3436	0
AgilityCourseLocation	Penguin Agility Course	2638	4041	0
AgilityCourseLocation	Pollnivneach Rooftop Course	3350	2963	0
AgilityCourseLocation	Prifddinas Agility Course	3253	6109	0
AgilityCourseLocation	Rellekka Rooftop Course	2624	3677	0
AgilityCourseLocation	Seers' Village Rooftop Course	2728	3488	0
AgilityCourseLocation	Shayzien Agility Course	1551	3632	0
AgilityCourseLocation	Varrock Rooftop Course	3219	3414	0
AgilityCourseLocation	Werewolf Agility Course	3542	3463	0
AgilityCourseLocation	Wilderness Agility Course	2997	3916	0
DungeonLocation	Abandoned Mine	3439	3232	0
DungeonLocation	Abandoned Mine (secret entrance)	3452	3244	0
DungeonLocation	Wine Cellar	1447	2938	0
DungeonLocation	Backstage Entrance	1475	2927	0
DungeonLocation	Alchemical Society	1388	2916	0
DungeonLocation	Moonrise Brewery and Winery	1356	2920	0
DungeonLocation	Ancient Cavern	2511	3508	0
DungeonLocation	Ape Atoll Dungeon	2762	2703	0
DungeonLocation	Ardougne Castle basement	2569	3296	0
DungeonLocation	Ardougne Rat Pits	2560	3320	0
DungeonLocation	Ardougne Sewers	2631	3294	0
DungeonLocation	Ardougne Sewers	2586	3235	0
DungeonLocation	Ardougne Sewers	2528	3303	0
DungeonLocation	Asgarnian Ice Dungeon	3007	3150	0
DungeonLocation	Barbarian camp jail	1581	3428	0
DungeonLocation	Brimhaven Agility Arena	2808	3194	0
DungeonLocation	Brimhaven Dungeon	2743	3154	0
DungeonLocation	Brimhaven Dungeon	2759	3062	0
DungeonLocation	Brimstail's Cave	2402	3419	0
DungeonLocation	Callisto's Den	3292	3850	0
DungeonLocation	Cam Torum	1435	3131	0
DungeonLocation	Barracks	1640	3166	0
DungeonLocation	Crypt	1692	3089	0
DungeonLocation	Crypt	1692	3084	0
DungeonLocation	Tunnel	1613	3174	0
DungeonLocation	Tunnel	1622	3165	0
DungeonLocation	Catacombs of Kourend	1636	3673	0
DungeonLocation	Chambers of Xeric	1232	3573	0
DungeonLocation	Champions' Challenge	3188	3355	0
DungeonLocation	Chaos Druid Tower dungeon	2561	3356	0
DungeonLocation	Chasm of Fire	1432	3670	0
DungeonLocation	Clock Tower Dungeon	2568	3229	0
DungeonLocation	Corporeal Beast cave	3202	3681	0
DungeonLocation	Corsair Cove Dungeon	2522	2861	0
DungeonLocation	Corsair Cove Dungeon	2482	2891	0
DungeonLocation	Crabclaw Caves	1643	3449	0
DungeonLocation	Crabclaw Caves Tunnel (quest)	1671	9800	0
DungeonLocation	Crandor Dungeon	2833	3256	0
DungeonLocation	Crash Island Dungeon	2920	2721	0
DungeonLocation	Crumbling Tower basement	2130	2994	0
DungeonLocation	Cave passage	1270	3435	0
DungeonLocation	Cave passage	1258	3431	0
DungeonLocation	Deep Wilderness Dungeon	3044	3924	0
DungeonLocation	Draynor Manor basement	3114	3357	0
DungeonLocation	Draynor Manor basement	3091	3362	0
DungeonLocation	Draynor Sewers	3083	3272	0
DungeonLocation	Draynor Sewers	3117	3244	0
DungeonLocation	Dwarven Mine	3017	3450	0
DungeonLocation	Dwarven Mine	3058	3377	0
DungeonLocation	Ectofuntus dungeon	3651	3519	0
DungeonLocation	Edgeville Dungeon	3096	3469	0
DungeonLocation	Edgeville Dungeon	3115	3452	0
DungeonLocation	Edgeville Dungeon	3087	3571	0
DungeonLocation	Entrana Dungeon	2819	3374	0
DungeonLocation	Escape Caves	3260	3833	0
DungeonLocation	Escape Caves	3320	3831	0
DungeonLocation	Escape Caves	3284	3808	0
DungeonLocation	Escape Caves	3282	3775	0
DungeonLocation	Miscellania and Etceteria Dungeon	2619	3865	0
DungeonLocation	Mole Hole	2985	3387	0
DungeonLocation	Mole Hole	2997	3376	0
DungeonLocation	Ferox Enclave Dungeon	3153	3643	0
DungeonLocation	Forsaken Tower basement	1381	3825	0
DungeonLocation	Forthos Dungeon	1701	3574	0
DungeonLocation	Forthos Dungeon	1669	3567	0
